0,0,1,0,0,0,0,0,-1277.505127
0,0,0,0,0,1,0,0,-1135.369751
16.77000046,0,1,0,0,0,-25907.16211,0,-1544.851563
0,0,0,16.77000046,0,1,-18759.04492,0,-1118.6073
33.54000092,0,1,0,0,0,-60629.00781,0,-1807.66272
0,0,0,33.54000092,0,1,-36890.53125,0,-1099.896606
50.31000137,0,1,0,0,0,-103963.5078,0,-2066.458008
0,0,0,50.31000137,0,1,-54340.58203,0,-1080.114868
67.08000183,0,1,0,0,0,-155872.4063,0,-2323.679199
0,0,0,67.08000183,0,1,-70938.73438,0,-1057.524292
83.8500061,0,1,0,0,0,-216456.9844,0,-2581.478516
0,0,0,83.8500061,0,1,-86738.85156,0,-1034.452515
100.6200027,0,1,0,0,0,-285881.375,0,-2841.198242
0,0,0,100.6200027,0,1,-101283.6719,0,-1006.595764
0,16.77000046,1,0,0,0,0,-21492.87109,-1281.626099
0,0,0,0,16.77000046,1,0,-23066.95313,-1375.489136
16.77000046,16.77000046,1,0,0,0,-26119.84961,-26119.84961,-1557.53418
0,0,0,16.77000046,16.77000046,1,-22762.55664,-22762.55664,-1357.337891
33.54000092,16.77000046,1,0,0,0,-61295.17188,-30647.58594,-1827.524414
0,0,0,33.54000092,16.77000046,1,-44837.02344,-22418.51172,-1336.822388
50.31000137,16.77000046,1,0,0,0,-105268.4609,-35089.48438,-2092.39624
0,0,0,50.31000137,16.77000046,1,-66220.96094,-22073.6543,-1316.258423
67.08000183,16.77000046,1,0,0,0,-158019.4844,-39504.87109,-2355.687012
0,0,0,67.08000183,16.77000046,1,-86672.44531,-21668.11133,-1292.075806
83.8500061,16.77000046,1,0,0,0,-219768.7969,-43953.75781,-2620.975342
0,0,0,83.8500061,16.77000046,1,-106291.7344,-21258.3457,-1267.641357
100.6200027,16.77000046,1,0,0,0,-290648.5313,-48441.42188,-2888.576172
0,0,0,100.6200027,16.77000046,1,-124792.875,-20798.8125,-1240.239258
0,33.54000092,1,0,0,0,0,-43115.45313,-1285.49353
0,0,0,0,33.54000092,1,0,-54604.65625,-1628.045776
16.77000046,33.54000092,1,0,0,0,-26329.01172,-52658.02344,-1570.006592
0,0,0,16.77000046,33.54000092,1,-26937.98438,-53875.96875,-1606.319824
33.54000092,33.54000092,1,0,0,0,-61961.76563,-61961.76563,-1847.399048
0,0,0,33.54000092,33.54000092,1,-53144.59766,-53144.59766,-1584.513916
50.31000137,33.54000092,1,0,0,0,-106611.1641,-71074.10938,-2119.084961
0,0,0,50.31000137,33.54000092,1,-78548.33594,-52365.55469,-1561.286621
67.08000183,33.54000092,1,0,0,0,-160284.5,-80142.25,-2389.452881
0,0,0,67.08000183,33.54000092,1,-103129.8906,-51564.94531,-1537.416382
83.8500061,33.54000092,1,0,0,0,-223285.875,-89314.34375,-2662.920166
0,0,0,83.8500061,33.54000092,1,-126810.2188,-50724.08594,-1512.345947
100.6200027,33.54000092,1,0,0,0,-295790,-98596.67188,-2939.674072
0,0,0,100.6200027,33.54000092,1,-149259.5781,-49753.19141,-1483.398682
0,50.31000137,1,0,0,0,0,-64820.72266,-1288.426147
0,0,0,0,50.31000137,1,0,-95373.03906,-1895.707397
16.77000046,50.31000137,1,0,0,0,-26514.26953,-79542.80469,-1581.053589
0,0,0,16.77000046,50.31000137,1,-31366.44141,-94099.32031,-1870.390015
33.54000092,50.31000137,1,0,0,0,-62633.92188,-93950.88281,-1867.439453
0,0,0,33.54000092,50.31000137,1,-61882.40234,-92823.60156,-1845.032837
50.31000137,50.31000137,1,0,0,0,-108042.2891,-108042.2891,-2147.531006
0,0,0,50.31000137,50.31000137,1,-91595.25,-91595.25,-1820.617065
67.08000183,50.31000137,1,0,0,0,-162731.8594,-122048.8906,-2425.937012
0,0,0,67.08000183,50.31000137,1,-120469.9297,-90352.44531,-1795.914185
83.8500061,50.31000137,1,0,0,0,-227078.4219,-136247.0469,-2708.150391
0,0,0,83.8500061,50.31000137,1,-148499.3906,-89099.63281,-1771.012329
100.6200027,50.31000137,1,0,0,0,-301211.5938,-150605.7969,-2993.555908
0,0,0,100.6200027,50.31000137,1,-175422.6406,-87711.32031,-1743.417114
